Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric",42.752000,37.536000,0.000000,top
"C2","100nF","C_0805_2012Metric",16.220000,56.720000,0.000000,top
"C3","100nF","C_0805_2012Metric",15.280000,53.055000,0.000000,top
"C4","4.7uF","C_0805_2012Metric",43.580000,39.809300,180.000000,top
"C5","4.7uF","C_0805_2012Metric",40.212000,47.188000,-90.000000,top
"C6","22uF","C_0805_2012Metric",42.752000,42.108000,180.000000,top
"C7","4.7uF","C_0805_2012Metric",37.926000,47.188000,90.000000,top
"C8","4.7uF","C_0805_2012Metric",90.130000,33.305000,0.000000,top
"C9","10uF","C_0805_2012Metric",42.752000,44.394000,0.000000,top
"C10","22uF","C_0805_2012Metric",20.842000,49.034000,-90.000000,top
"C11","4.7uF","C_0805_2012Metric",42.752000,32.964000,180.000000,top
"C12","10uF","C_0805_2012Metric",30.814000,46.172000,90.000000,top
"C13","0.1u","C_0805_2012Metric",8.710000,41.590000,180.000000,top
"C14","0.1u","C_0805_2012Metric",14.320000,44.710000,180.000000,top
"C15","C_Polarized 100uF","CP_EIA-3528-21_Kemet-B",55.972500,33.410000,0.000000,top
"C16","10uF","C_0805_2012Metric",51.050000,34.480000,0.000000,top
"C17","10uF","C_0805_2012Metric",51.040000,31.980000,0.000000,top
"C19","10uF","C_0805_2012Metric",47.005000,27.730000,180.000000,top
"C20","10nF","C_0805_2012Metric",25.480000,41.981000,0.000000,top
"C22","100nF","C_0805_2012Metric",5.530000,51.205000,180.000000,top
"C24","4.7uF","C_0805_2012Metric",35.640000,47.188000,90.000000,top
"C25","10nF","C_0805_2012Metric",25.480000,34.361000,0.000000,top
"C26","4.7uF","C_0805_2012Metric",25.734000,30.678000,90.000000,top
"C27","2.2uF","C_0805_2012Metric",16.590000,40.584000,0.000000,top
"C28","4.7uF","C_0805_2012Metric",36.021000,30.678000,90.000000,top
"C29","100nF","C_0805_2012Metric",25.480000,36.774000,0.000000,top
"C30","100nF","C_0805_2012Metric",25.480000,39.568000,180.000000,top
"C31","4.7uF","C_0805_2012Metric",38.180000,30.678000,90.000000,top
"C32","10uF","C_0805_2012Metric",19.430000,46.155000,0.000000,top
"C33","2.2uF","C_0805_2012Metric",16.590000,34.234000,180.000000,top
"C34","1uF/50V","C_1206_3216Metric",82.630000,61.405000,180.000000,top
"C35","1uF/25V","C_0805_2012Metric",80.455000,30.930000,90.000000,top
"C36","1uF/50V","C_1206_3216Metric",84.405000,33.405000,180.000000,top
"C37","1uF/25V","C_0805_2012Metric",82.030000,58.280000,180.000000,top
"C38","1uF/25V","C_0805_2012Metric",81.980000,40.805000,180.000000,top
"D1","MBR0540","D_SOD-123",33.354000,47.696000,-90.000000,top
"D2","MBR0540","D_SOD-123",22.432000,41.854000,90.000000,top
"D3","MBR0540","D_SOD-123",19.892000,41.854000,-90.000000,top
"D4","MBR0540","D_SOD-123",33.481000,30.043000,90.000000,top
"D5","MBR0540","D_SOD-123",22.380000,31.780000,90.000000,top
"D6","MBR0540","D_SOD-123",19.892000,32.710000,-90.000000,top
"D8","GRE","LED_0805_2012Metric",-0.995000,32.080000,0.000000,top
"D9","RED","LED_0805_2012Metric",-1.180000,26.630000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-1.975000,59.350000,-90.000000,top
"J2","Jack-DC","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",-3.752500,46.500000,-90.000000,top
"L1","4.7uH","L_Taiyo-Yuden_NR-50xx_HandSoldering",26.750000,47.950000,90.000000,top
"L2","2.2uH","L_Taiyo-Yuden_NR-40xx_HandSoldering",29.798000,29.281000,90.000000,top
"P1","CONN_02X13","PinHeader_2x13_P2.54mm_Vertical",37.330000,68.080000,-90.000000,top
"Q1","MMBT3904","SOT-23",11.590000,48.150000,0.000000,top
"Q2","MMBT3904","SOT-23",11.582500,51.590000,0.000000,top
"R1","10K","R_0603_1608Metric",9.960000,35.600000,0.000000,top
"R2","2K2","R_0603_1608Metric",1.755000,30.130000,0.000000,top
"R3","2K2","R_0603_1608Metric",-1.420000,28.655000,0.000000,top
"R4","400","R_0603_1608Metric",11.455000,60.355000,180.000000,top
"R5","6.8K","R_0603_1608Metric",14.830000,28.830000,0.000000,top
"R6","5.1k","R_0603_1608Metric",8.255000,60.355000,180.000000,top
"R7","5.1k","R_0603_1608Metric",8.180000,57.555000,180.000000,top
"R8","10K","R_0603_1608Metric",50.930000,39.930000,0.000000,top
"R9","2K2","R_0603_1608Metric",51.455000,51.780000,0.000000,top
"R10","2K2","R_0603_1608Metric",51.455000,49.680000,0.000000,top
"R11","10K","R_0603_1608Metric",54.805000,51.780000,180.000000,top
"R12","10K","R_0603_1608Metric",46.180000,44.130000,90.000000,top
"R13","10K","R_0603_1608Metric",15.330000,47.950000,90.000000,top
"R14","10K","R_0603_1608Metric",7.935000,48.210000,0.000000,top
"R18","43k","R_0603_1608Metric",41.173200,29.187400,90.000000,top
"R19","1M","R_0603_1608Metric",13.630000,35.380000,-90.000000,top
"R20","52.3k","R_0603_1608Metric",18.630000,37.805000,180.000000,top
"R23","1M","R_0603_1608Metric",21.924000,36.266000,180.000000,top
"R24","47.5k","R_0603_1608Metric",18.622000,36.266000,180.000000,top
"R26","47k","R_0603_1608Metric",16.080000,26.105000,180.000000,top
"R27","47k","R_0603_1608Metric",90.080000,31.505000,180.000000,top
"R28","47k","R_0603_1608Metric",16.805000,42.505000,180.000000,top
"R29","47k","R_0603_1608Metric",40.180000,53.705000,0.000000,top
"R30","100k","R_0603_1608Metric",51.005000,42.630000,0.000000,top
"SW1","RESET","Alps_SKRK",8.710000,38.280000,180.000000,top
"SW2","BOOT","Alps_SKRK",8.710000,44.670000,180.000000,top
"TH1","10k/3380K","R_0603_1608Metric",43.205200,29.187400,-90.000000,top
"U2","ESP32-S2-WROVER","ESP32-S2-WROVER",66.650000,53.900000,0.000000,top
"U6","ED060XC5","X05A20H34G",92.950000,42.825000,90.000000,top
"U11","TP4056","TP4056_SOP-8-PP",8.300000,29.425000,180.000000,top
